id,name,municipality,iata_code
6523,Total RF Heliport,Bensalem,
323361,Aero B Ranch Airport,Leoti,
6524,Lowell Field,Anchor Point,
6525,Epps Airpark,Harvest,
506791,Katmai Lodge Airport,King Salmon,
322127,Fulton Airport,Alex,
6527,Cordes Airport,Cordes,
6528,Goldstone (GTS) Airport,Barstow,
324424,Williams Ag Airport,Biggs,
322658,Kitchen Creek Helibase Heliport,Pine Valley,
6531,Grass Patch Airport,Bushnell,
6533,River Oak Airport,Okeechobee,
6534,Lt World Airport,Lithonia,
6535,Caffrey Heliport,Hiram,
6536,Kaupulehu Heliport,Kailua-Kona,
6537,Delta Shores Airport,Clark Fork,
322581,Goltl Airport,McDonald,
6539,Hammer Airport,Polo,
6540,St Mary Medical Center Heliport,Hobart,
6541,Hayenga's Cant Find Farms Airport,Kings,
6542,Hayden Farm Airport,Gardner,
6543,Robbins Roost Airport,Stanford,
45437,Shell Chemical East Site Heliport,Gonzales,
6544,Ac & R Components Heliport,Chatham,
6545,Lejeune Airport,Crowley,
6546,Slater Field,Federalsburg,
6547,Dow Chemical Heliport,Ludington,
6548,Battle Lake Municipal Airport,Battle Lake,
6549,Cooper Flying Service Airport,Alba,
324642,Livingston Healthcare Heliport,Livingston,
6551,Bucks Airport,Bridgeton,
6552,North Raleigh Airport,Louisburg,
6553,Colgate-Piscataway Heliport,New Brunswick,
321919,Cliche Cove Seaplane Base,Beekmantown,
506039,Rodanthe Dare County Heliport,Rodanthe,
6554,Weiss Airfield,West Bloomfield,
6556,Miami Valley Hospital Heliport,Dayton,
328503,Gull Bay Landing Airport,Sandsprings,
6557,Steel Systems Heliport,Salem,
6558,R J D Heliport,Coatesville,
45773,Ferrell Field,Mercer,
6560,McKenzie Bridge State Airport,Blue River,
6561,Flying O Airport,Sumter,
330391,Homan Field,Gary,
6563,Tcjc-Northeast Campus Heliport,Fort Worth,
6565,Alpine Range Airport,Everman,
516563,Nowhere Airport,Goodlett,
6568,Vaughan Airport,Alton,
6569,Groundhog Mountain Airport,Hillsville,
6570,Lower Granite State Airport,Colfax,
6571,Howell Airport,Longbranch,
6572,Northern Lite Airport,Waupaca,
6573,Hawks Run Airport,Asotin,
6574,Lazy J. Aerodrome,Beverly,
